Date,Close,High,Low,Open,Volume,RSI,Trade,Shares,Cash,Position_value,Total_value,Portfolio_return,Portfolio_return_1d%
2017-01-23,14.46599578857422,14.480962280397804,14.373892003162076,14.445272480774827,20626400,62.74192217839122,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-24,14.620267868041992,14.64674799045703,14.48556681344831,14.49247428957104,3411200,68.49219310385192,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-25,14.77684497833252,14.782600037408343,14.714674178365048,14.726187809983776,3676800,73.04010176317223,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-26,14.74000358581543,14.804475710320787,14.695103230768222,14.79756823365716,5856800,70.46291088394425,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-27,14.781449317932127,14.805627241541524,14.750363918072486,14.784903056057251,2686400,71.67379363498038,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-30,14.661713600158691,14.735396268927694,14.571912902494386,14.735396268927694,3616000,63.56624526421668,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-01-31,14.59148406982422,14.61681265086682,14.51319612767739,14.600694622633648,4251200,59.32723935556492,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-01,14.696252822875977,14.7469091089769,14.62141861492154,14.733094157479696,5345600,63.263075033494665,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-02,14.70316219329834,14.73885287212092,14.60415092909834,14.667472392842578,3100800,63.51383196462411,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-03,14.820594787597656,14.83786523720944,14.76993761284378,14.7814512459183,2831200,67.56598401746791,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-06,14.841317176818848,14.841317176818848,14.76993582252996,14.806778038515649,3104000,68.23636778966352,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-07,14.894277572631836,14.92881671535554,14.856284691309138,14.868948985083373,3644800,69.94606866979078,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-08,14.919605255126951,14.948387579528417,14.84592257492855,14.894276669114973,2770400,70.7567397498488,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-09,14.99213409423828,15.024370150190448,14.91960208997926,14.91960208997926,3020000,73.00251673786866,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-10,15.027826309204102,15.054305554417,14.977169139764769,15.02897696969733,3051200,74.05832792740497,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-13,15.110716819763184,15.136045399923542,15.078480764419684,15.078480764419684,3945600,76.36959505181655,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-14,15.16482925415039,15.167132331689205,15.061213602438585,15.100357136931184,4742400,77.76248067630266,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-15,15.231605529785156,15.24311740482925,15.151015377542247,15.176343962066245,3335200,79.37790590293233,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-16,15.252325057983398,15.294924082071743,15.210878450893777,15.260384950041518,3728800,79.86662516170806,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-17,15.297228813171388,15.297228813171388,15.210881842211087,15.233909106520732,2294400,80.92186249288605,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-21,15.38818359375,15.392787993066678,15.328315862230314,15.3386770782432,4192000,82.8792786911776,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-22,15.407755851745604,15.410058929843588,15.338677562677088,15.372066046529287,3135200,83.2768950136585,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-23,15.372062683105469,15.431928646683325,15.300681331557286,15.431928646683325,2711200,79.64423025268438,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-24,15.40314483642578,15.40314483642578,15.246568953100404,15.27189753398637,3644000,80.44422388709363,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-27,15.406604766845703,15.410058505530644,15.351341434419007,15.390484977337554,4453600,80.53592481393218,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-02-28,15.312196731567385,15.391636228770947,15.294928039450818,15.391636228770947,4611200,70.78262427745504,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-03-01,15.52748680114746,15.550514064565448,15.387028926618797,15.393938159684325,3111200,77.48030192973646,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-03-02,15.412357330322266,15.520579142877397,15.404299193607272,15.520579142877397,2685600,68.44446171450576,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-03-03,15.438837051391602,15.439987711760178,15.36169888836236,15.410054731576729,2445600,69.33038703510125,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-03-06,15.410056114196776,15.434232281239709,15.34443157589888,15.377820053650508,3236000,67.12452200063913,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-03-07,15.422722816467283,15.47913505287216,15.382426856120528,15.391637411535038,4864000,67.61291617123482,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-03-08,15.441139221191406,15.488342649899389,15.419264375851927,15.43308108470151,2524800,68.34914001991308,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
2017-03-09,15.431928634643556,15.45150215907762,15.351338486248949,15.442291605442025,2770400,67.52242996493072,0,0.0,114513.5727434158,0.0,114513.5727434158,14.513572743415804,0.0
