Date,Close,High,Low,Open,Volume,Trade,Shares,Cash,Position_value,Total_value,Portfolio_return,Portfolio_return_1d%
2020-03-27,24.89089775085449,25.68463730601794,24.81786873564224,25.25364792387292,11522400,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-03-30,25.87619400024414,25.919293128864336,25.108790933845498,25.11717218261036,12260800,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-03-31,25.36858367919922,26.24852351048939,25.2309068635605,25.85225190849892,11804000,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-01,24.168994903564453,24.9974543667738,23.97025991704259,24.52575882178084,9640000,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-02,24.641881942749023,24.70054519595036,23.94511309411903,24.044480567039248,6090400,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-03,24.24441337585449,24.79272931416001,23.94391786429692,24.5485021557256,4012800,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-06,26.3095760345459,26.490353781791345,25.161465622598733,25.330270680318648,9448800,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-07,26.10964775085449,27.317618105357017,26.082112753692392,27.317618105357017,13883200,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-08,26.85909080505371,26.97162568540425,26.223378246292835,26.423311569586264,8487200,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-09,26.922542572021484,27.361913257708547,26.723807609852926,27.25296799000188,13693600,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-13,26.98360252380371,26.989588869592183,26.41253947897705,26.85071368511515,8109600,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-14,28.07902908325196,28.13410089303669,27.47683975070476,27.59895423203559,12955200,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-15,27.470855712890625,27.664800848503468,27.24697885541228,27.521137717428186,7295200,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-16,27.75578498840332,27.839588323008417,27.324795627530385,27.79768756909371,10008800,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-17,28.202342987060547,28.29332921231701,27.780929544256548,28.258609510322827,8070400,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-20,27.734241485595703,28.17002073313114,27.72825514056184,27.83360896747459,10504000,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-21,26.59450912475586,27.41578556902116,26.440071660484705,27.35353087195232,8400000,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-22,27.602548599243164,27.7438186664984,27.13444456016689,27.24458819141212,5391200,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-23,27.46128273010254,27.986851706725865,27.42656302273173,27.670792032372503,4806400,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-24,28.0012149810791,28.02515853385136,27.38106837843053,27.56423920596347,6852800,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-27,28.319669723510746,28.374739712584468,28.13410399140373,28.2729791559152,7088000,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-28,27.960508346557617,28.69199505531757,27.92698701021312,28.67283948404191,6744800,0,0.0,192320.06779098514,0.0,192320.06779098514,92.32006779098514,0.0
2020-04-29,29.154115676879883,29.23552412292679,28.46333311666275,28.54833483111856,7587200,1,6596.0,19.520786285429494,192300.5470046997,192320.06779098514,92.32006779098514,0.0
2020-04-30,28.972139358520508,29.222352850917883,28.772207872243,29.222352850917883,6699200,0,6596.0,19.520786285429494,191100.23120880127,191119.7519950867,91.1197519950867,-0.624124049916075
2020-05-01,28.14008903503418,28.651292178395,28.021565987337496,28.322063317124552,7437600,0,6596.0,19.520786285429494,185612.02727508545,185631.54806137088,85.63154806137088,-2.871604779948078
2020-05-04,28.4860782623291,28.5100218139026,27.84318467736245,27.934170904052102,4998400,0,6596.0,19.520786285429494,187894.17221832275,187913.69300460818,87.91369300460818,1.2293949854271569
2020-05-05,28.926647186279297,29.267848753621248,28.78657548308578,28.81051903609069,7199200,0,6596.0,19.520786285429494,190800.16484069824,190819.68562698367,90.81968562698368,1.5464507008035033
2020-05-06,29.13495635986328,29.41629809679468,28.99129323268001,29.170872598353043,5696000,0,6596.0,19.520786285429494,192174.1721496582,192193.69293594363,92.19369293594364,0.7200553257622921
2020-05-07,29.65933418273925,29.823349449181585,29.53242987301278,29.573135925117104,6497600,0,6596.0,19.520786285429494,195632.9682693481,195652.48905563352,95.65248905563351,1.79964080342776
2020-05-08,30.09869956970215,30.13461580848868,29.755103138334427,29.971797109195403,6192800,0,6596.0,19.520786285429494,198531.02236175537,198550.5431480408,98.55054314804079,1.4812252613782162
2020-05-11,30.305816650390625,30.487790936951736,29.85208021240101,29.90475529700664,11072000,0,6596.0,19.520786285429494,199897.16662597656,199916.687412262,99.91668741226198,0.6880586890173346
2020-05-12,29.6545467376709,30.517725920995524,29.6545467376709,30.4530763092417,28762400,0,6596.0,19.520786285429494,195601.39028167725,195620.91106796268,95.62091106796267,-2.1487832756255654
2020-05-13,29.127775192260746,29.901162682960496,28.751855771059343,29.706021002982084,9308000,0,6596.0,19.520786285429494,192126.80516815188,192146.3259544373,92.14632595443733,-1.7761828705103122
2020-05-14,29.47855567932129,29.510880481812865,28.562701498527176,28.88953548486091,6398400,0,6596.0,19.520786285429494,194440.55326080322,194460.07404708865,94.46007404708865,1.204159424416984
2020-05-15,29.652149200439453,29.652149200439453,28.98411545015645,29.064327361724107,5322400,0,6596.0,19.520786285429494,195585.57612609863,195605.09691238406,95.60509691238406,0.5888215721948864
2020-05-18,30.36686897277832,30.53926545025078,30.16334606395278,30.239966517632126,7204000,0,6596.0,19.520786285429494,200299.8677444458,200319.38853073123,100.31938853073123,2.4101067368703655
2020-05-19,30.27469062805176,30.764343314735644,30.27469062805176,30.41356396467212,5676800,0,6596.0,19.520786285429494,199691.85938262942,199711.38016891485,99.71138016891486,-0.30351947770802523
2020-05-20,30.967866897583008,31.027726690543187,30.673354085661607,30.71166523000856,5672000,0,6596.0,19.520786285429494,204264.05005645752,204283.57084274295,104.28357084274293,2.28939916691826
2020-05-21,30.584760665893555,31.0504679233718,30.52011107093111,30.94631247532493,5638400,0,6596.0,19.520786285429494,201737.0813522339,201756.60213851932,101.75660213851931,-1.2369906663560748
2020-05-22,30.73441696166992,30.75596561359109,30.409976030239285,30.536880345287763,4168800,0,6596.0,19.520786285429494,202724.21427917478,202743.7350654602,102.74373506546021,0.48926920679559505
2020-05-26,30.75596809387207,31.35456616363818,30.702096459724725,31.35456616363818,6104800,0,6596.0,19.520786285429494,202866.36554718018,202885.8863334656,102.88588633346562,0.07011376601082642
2020-05-27,30.927160263061523,30.93075170464104,30.038842945910325,30.738004917287235,6693600,0,6596.0,19.520786285429494,203995.5490951538,204015.06988143924,104.01506988143923,0.5565609162766938
2020-05-28,30.864910125732425,31.43237986688388,30.76793754094204,30.83857166729848,5620000,0,6596.0,19.520786285429494,203584.94718933108,203604.4679756165,103.60446797561652,-0.2012605765159159
2020-05-29,31.25041007995605,31.33062382731725,30.71287019283429,30.940336724237657,5908000,0,6596.0,19.520786285429494,206127.7048873901,206147.22567367554,106.14722567367552,1.2488712665988944
2020-06-01,31.350975036621094,31.42400590171433,31.018154652626468,31.124706863821583,8140800,0,6596.0,19.520786285429494,206791.03134155273,206810.55212783816,106.81055212783815,0.32177316575321413
2020-06-02,31.63111114501953,31.63111114501953,31.08638848409644,31.41082754276165,4565600,0,6596.0,19.520786285429494,208638.80911254883,208658.32989883426,108.65832989883427,0.893463970761954
2020-06-03,31.92562866210937,32.00703711662925,31.641890129371376,31.758018292324174,5732800,0,6596.0,19.520786285429494,210581.4466552734,210600.96744155884,110.60096744155885,0.931013654555013
2020-06-04,31.611949920654297,31.978291500095818,31.41561173238654,31.810684838513293,5651200,0,6596.0,19.520786285429494,208512.42167663574,208531.94246292117,108.5319424629212,-0.9824384967328403
2020-06-05,32.37576675415039,32.46436173217559,31.74005604499008,31.85139438307989,5710400,0,6596.0,19.520786285429494,213550.55751037598,213570.0782966614,113.57007829666142,2.416001967965209
2020-06-08,32.574493408203125,32.584073018628864,32.07286817851828,32.34822534821964,11107200,0,6596.0,19.520786285429494,214861.3585205078,214880.87930679324,114.88087930679325,0.613756861722492
2020-06-09,32.64752960205078,32.824712234984766,32.36259642864976,32.39851083977111,5110400,0,6596.0,19.520786285429494,215343.10525512695,215362.62604141238,115.36262604141237,0.22419246243465807
2020-06-10,33.13359069824219,33.37542292411409,32.815136190776336,32.90013606590905,5129600,0,6596.0,19.520786285429494,218549.16424560547,218568.6850318909,118.56868503189091,1.488679372744106
2020-06-11,31.24561882019043,32.58408679280077,31.21449420702677,32.43922343889313,10707200,0,6596.0,19.520786285429494,206096.10173797607,206115.6225242615,106.11562252426152,-5.697551095122522
2020-06-12,31.62992286682129,32.250069578462124,31.086394806807192,32.153096985286936,8929600,0,6596.0,19.520786285429494,208630.97122955322,208650.49201583865,108.65049201583865,1.2298288992037776
2020-06-15,32.02379608154297,32.138729533292725,30.96068540094843,31.02773174124533,5960000,0,6596.0,19.520786285429494,211228.95895385742,211248.47974014285,111.24847974014287,1.2451385564463457
2020-06-16,32.69781875610352,32.96598950891716,32.204574555655924,32.83190413251034,8829600,0,6596.0,19.520786285429494,215674.81251525885,215694.33330154428,115.69433330154428,2.1045612100358158
2020-06-17,32.67267227172852,32.98992844020929,32.636754204217326,32.945632778475414,4323200,0,6596.0,19.520786285429494,215508.94630432135,215528.46709060678,115.52846709060675,-0.0768987336842164
2020-06-18,32.851051330566406,32.88696939594218,32.56492344022936,32.637950628789106,5334400,0,6596.0,19.520786285429494,216685.53457641602,216705.05536270145,116.70505536270146,0.54590852335068
2020-06-19,32.633174896240234,33.284449970902834,32.49190661073886,33.24853554358999,5104800,0,6596.0,19.520786285429494,215248.4216156006,215267.94240188602,115.267942401886,-0.6631654062754233
2020-06-22,33.23745346069336,33.26625632115317,32.64096980785718,32.69017713622412,4426400,0,6596.0,19.520786285429494,219234.2430267334,219253.76381301883,119.25376381301885,1.851562925097161
2020-06-23,33.45587921142578,33.84953410857564,33.416271622429065,33.5038851915423,5562400,0,6596.0,19.520786285429494,220674.97927856445,220694.50006484988,120.69450006484988,0.6571090168649096
2020-06-24,32.69977569580078,33.512291760804644,32.51015076687252,33.32986388411102,7292800,0,6596.0,19.520786285429494,215687.72048950195,215707.24127578738,115.7072412757874,-2.2598020284134934
2020-06-25,33.13424301147461,33.16064685914247,32.382940187148805,32.7297869024073,5039200,0,6596.0,19.520786285429494,218553.46690368652,218572.98768997195,118.57298768997194,1.3285351002753965
2020-06-26,32.52215576171875,33.12703783344168,32.39373689887437,33.06463041218775,7037600,0,6596.0,19.520786285429494,214516.13940429688,214535.6601905823,114.5356601905823,-1.8471301243849325
2020-06-29,32.853389739990234,32.853389739990234,32.09968456419092,32.558149508698015,6948800,0,6596.0,19.520786285429494,216700.9587249756,216720.47951126102,116.72047951126103,1.0183944798444422
2020-06-30,33.449886322021484,33.54590197400302,32.82820008375932,32.837799817646165,5987200,0,6596.0,19.520786285429494,220635.4501800537,220654.97096633914,120.65497096633915,1.8154682307601977
2020-07-01,33.52909469604492,33.71152258627608,33.30826421126923,33.44268244873076,7564800,0,6596.0,19.520786285429494,221157.9086151123,221177.42940139773,121.17742940139773,0.23677619079711665
2020-07-02,33.71272277832031,34.00076240331103,33.63351124048892,33.839940309879736,6564800,0,6596.0,19.520786285429494,222369.11944580078,222388.6402320862,122.38864023208622,0.5476195441671106
2020-07-06,34.24558639526367,34.46761816319952,34.09916578216308,34.13997104645389,6245600,0,6596.0,19.520786285429494,225883.88786315918,225903.4086494446,125.9034086494446,1.580462209621114
2020-07-07,33.93114471435547,34.57923460388264,33.887936768322184,34.1987834564501,6304000,0,6596.0,19.520786285429494,223809.83053588867,223829.3513221741,123.82935132217412,-0.9181168799843209
2020-07-08,34.52042770385742,34.52042770385742,34.03795789458579,34.16517905352732,4528000,0,6596.0,19.520786285429494,227696.74113464355,227716.26192092898,127.71626192092897,1.7365508928094853
2020-07-09,34.65966033935547,34.81208039041736,34.13398605343437,34.804879673839494,4821600,0,6596.0,19.520786285429494,228615.11959838867,228634.6403846741,128.6346403846741,0.4032994639899812
2020-07-10,34.59244537353516,34.636851005814684,34.23839433015567,34.585244658172115,4669600,0,6596.0,19.520786285429494,228171.76968383795,228191.29047012338,128.19129047012336,-0.19391196093679897
2020-07-13,33.802730560302734,35.097712841471925,33.72472037381298,34.886482104102235,11260000,0,6596.0,19.520786285429494,222962.81077575684,222982.33156204227,122.98233156204228,-2.2827159166984523
2020-07-14,34.20718765258789,34.24679524839165,33.141441525402506,33.52909345252199,8337600,0,6596.0,19.520786285429494,225630.60975646973,225650.13054275516,125.65013054275514,1.1964172058047673
2020-07-15,34.42081451416016,34.66925015287197,33.976754580899666,34.53843228897885,6807200,0,6596.0,19.520786285429494,227039.69253540045,227059.21332168588,127.05921332168586,0.6244546703968012
2020-07-16,33.986351013183594,34.14477404242717,33.72231629373244,34.06196217089628,4161600,0,6596.0,19.520786285429494,224173.97128295898,224193.4920692444,124.19349206924441,-1.2621030481513418
2020-07-17,34.187984466552734,34.28760046330121,33.868742996275856,34.17478437638869,3877600,0,6596.0,19.520786285429494,225503.94554138184,225523.46632766727,125.52346632766725,0.5932260772369302
2020-07-20,35.08570861816406,35.16972183781488,34.12917463711825,34.28279598474291,5258400,0,6596.0,19.520786285429494,231425.33404541016,231444.8548316956,131.44485483169558,2.625619675171631
2020-07-21,34.74726104736328,35.397753685523774,34.63924666476844,35.397753685523774,6194400,0,6596.0,19.520786285429494,229192.9338684082,229212.45465469363,129.21245465469363,-0.9645494943602562
2020-07-22,35.00890350341797,35.15772316966332,34.75566614016069,34.80127311210613,4807200,0,6596.0,19.520786285429494,230918.72750854492,230938.24829483035,130.93824829483034,0.7529231527739766
2020-07-23,34.14838409423828,35.09651619657081,33.98516298452423,34.87688703751859,8460000,0,6596.0,19.520786285429494,225242.7414855957,225262.26227188113,125.26226227188113,-2.4577938322728143
2020-07-24,33.707916259765625,33.951553876773545,33.17144468672919,33.623906698410984,10396800,0,6596.0,19.520786285429494,222337.41564941406,222356.9364356995,122.35693643569947,-1.289752578563308
2020-07-27,34.27920150756836,34.32000678443144,33.87354409402854,33.92515410715821,5584800,0,6596.0,19.520786285429494,226105.6131439209,226125.13393020633,126.12513393020635,1.6946615450408986
2020-07-28,33.86994171142578,34.2888028539064,33.85193992309504,34.213191680295026,3546400,0,6596.0,19.520786285429494,223406.13552856445,223425.65631484988,123.42565631484987,-1.1937981278054788
2020-07-29,34.44961929321289,34.52042875746756,34.01995714808718,34.01995714808718,3221600,0,6596.0,19.520786285429494,227229.68885803223,227249.20964431766,127.24920964431767,1.7113313629835147
2020-07-30,34.622440338134766,34.6512431919026,33.93354156367663,34.127968151852095,3513600,0,6596.0,19.520786285429494,228369.6164703369,228389.13725662234,128.38913725662232,0.5016200558360051
2020-07-31,35.437355041503906,35.44455575564561,34.58043709504694,35.17931968443531,6256800,0,6596.0,19.520786285429494,233744.79385375977,233764.3146400452,133.7643146400452,2.3535170927955207
2020-08-03,36.26667404174805,36.393891550763655,35.85621865609297,35.942630894539604,7621600,0,6596.0,19.520786285429494,239214.98197937012,239234.50276565555,139.23450276565555,2.340044131215424
2020-08-04,36.385498046875,36.39389644001607,36.0566494955576,36.237876051432025,7245600,0,6596.0,19.520786285429494,239998.7451171875,240018.26590347293,140.01826590347295,0.3276129190216137
2020-08-05,36.54510498046875,36.62911818110444,36.379481258577314,36.51749980594651,4141600,0,6596.0,19.520786285429494,241051.51245117188,241071.0332374573,141.0710332374573,0.43861967339091645
2020-08-06,36.98557662963867,37.02158020241135,36.41309418420019,36.554713120601846,4428000,0,6596.0,19.520786285429494,243956.86344909668,243976.3842353821,143.9763842353821,1.2051846125631371
2020-08-07,36.38788986206055,36.861957634697696,36.089049235138646,36.861957634697696,8192000,0,6596.0,19.520786285429494,240014.52153015137,240034.0423164368,140.0340423164368,-1.6158702947010828
2020-08-10,36.272682189941406,36.5283149213526,35.79141360469275,36.47670857153408,5455200,0,6596.0,19.520786285429494,239254.61172485352,239274.13251113895,139.27413251113893,-0.3165841802955871
2020-08-11,35.63058853149414,36.342287283685074,35.586182901063175,36.15986306437832,5032800,0,6596.0,19.520786285429494,235019.36195373535,235038.88274002078,135.03888274002077,-1.7700408007626955
2020-08-12,36.411895751953125,36.48630557588854,35.88502028469794,35.93062725101235,8547200,0,6596.0,19.520786285429494,240172.8643798828,240192.38516616824,140.19238516616826,2.1926169687624952
2020-08-13,36.500709533691406,36.7851487602717,36.35188987550946,36.45510256421706,6112800,0,6596.0,19.520786285429494,240758.68008422852,240778.20087051395,140.77820087051393,0.24389436989871172
